BEA Detail,Year,Country,Import Quantity,Unit,Source,BEA Summary,CountryCode,Region,cntry_cntrb_to_national_detail,cntry_cntrb_to_region_detail,cntry_cntrb_to_national_summary,cntry_cntrb_to_region_summary
312120,2019,Saudi Arabia,103324.0,USD,Census,311FT,WM,ROW,1.7362245444839587e-05,0.0017396045771918551,1.0398749355969442e-06,9.937890854093009e-06
312130,2019,Saudi Arabia,265277.0,USD,Census,311FT,WM,ROW,3.0207147876236735e-05,0.0004108148638580801,2.669804723881679e-06,2.5514825907835845e-05
312140,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
312200,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
313100,2019,Saudi Arabia,0.0,USD,Census,313TT,WM,ROW,0.0,0.0,0.0,0.0
313200,2019,Saudi Arabia,44074215.0,USD,Census,313TT,WM,ROW,0.006749478402504332,0.14925530351720842,0.001320979028579005,0.04356902656019909
313300,2019,Saudi Arabia,0.0,USD,Census,313TT,WM,ROW,0.0,0.0,0.0,0.0
314110,2019,Saudi Arabia,273689.0,USD,Census,313TT,WM,ROW,9.001024039350878e-05,0.0015175335257671275,8.202923849075005e-06,0.00027055191590444273
314120,2019,Saudi Arabia,68443.0,USD,Census,313TT,WM,ROW,5.017028999902754e-06,0.00025929781743393914,2.0513528749867204e-06,6.765849113500278e-05
314900,2019,Saudi Arabia,307459.0,USD,Census,313TT,WM,ROW,3.80903485808321e-05,0.0018821989054597604,9.215068065259298e-06,0.0003039348366652078
315000,2019,Saudi Arabia,357497.0,USD,Census,315AL,WM,ROW,3.931127254243891e-06,2.2925940125475784e-05,2.7159335132943368e-06,2.1732273404257626e-05
316000,2019,Saudi Arabia,57390.0,USD,Census,315AL,WM,ROW,1.410439739320351e-06,6.70059009209581e-05,4.3599645403447296e-07,3.488743040278226e-06
321100,2019,Saudi Arabia,0.0,USD,Census,321,WM,ROW,0.0,0.0,0.0,0.0
321200,2019,Saudi Arabia,0.0,USD,Census,321,WM,ROW,0.0,0.0,0.0,0.0
321910,2019,Saudi Arabia,0.0,USD,Census,321,WM,ROW,0.0,0.0,0.0,0.0
3219A0,2019,Saudi Arabia,25924.0,USD,Census,321,WM,ROW,6.266036997948877e-06,9.862115459906443e-05,1.3296868926113895e-06,9.695584718870905e-06
